System,IP,Admin Account Password,Custom Admin Password,Password chng,Account Creation
Linux 1,,,,FALSE,FALSE
Linux 2,,,,FALSE,FALSE
Linux 3,,,,FALSE,FALSE
Linux 4,,,,FALSE,FALSE
Linux 5,,,,FALSE,FALSE
Linux 6,,,,FALSE,FALSE
Linux 7,,,,FALSE,FALSE
Linux 8,,,,FALSE,FALSE
Linux 9,,,,FALSE,FALSE
Linux 10,,,,FALSE,FALSE
Linux 11,,,,FALSE,FALSE
Linux 12,,,,FALSE,FALSE
Linux 13,,,,FALSE,FALSE
Linux 14,,,,FALSE,FALSE
Linux 15,,,,FALSE,FALSE
Linux 16,,,,FALSE,FALSE
Linux 17,,,,FALSE,FALSE
Linux 18,,,,FALSE,FALSE
Linux 19,,,,FALSE,FALSE
Linux 20,,,,FALSE,FALSE
,,,,,
Service,IP,Account User,Account Passwords,,
